image_address,image_name,label,xmin,ymin,xmax,ymax

im_data_reshaped/test/AirBrush_20190407071250 resized.jpg,AirBrush_20190407071250 resized.jpg,raghulal,116.4406779661017,232.05084745762713,280.0,413.40677966101697

im_data_reshaped/test/AirBrush_20190407071250 resized.jpg,AirBrush_20190407071250 resized.jpg,rohit,391.01694915254245,357.47457627118644,493.5593220338983,462.55932203389835

im_data_reshaped/test/AirBrush_20190407071250 resized.jpg,AirBrush_20190407071250 resized.jpg,yogesh,552.0338983050848,342.22033898305085,765.5932203389832,546.457627118644

im_data_reshaped/test/IMG-20191123-WA0005 resized.jpg,IMG-20191123-WA0005 resized.jpg,jagdish,3.7288135593220204,145.61016949152543,167.28813559322037,499.8474576271187

im_data_reshaped/test/IMG-20191123-WA0005 resized.jpg,IMG-20191123-WA0005 resized.jpg,raghulal,155.42372881355936,67.64406779661017,310.50847457627117,293.91525423728814

im_data_reshaped/test/IMG-20191123-WA0005 resized.jpg,IMG-20191123-WA0005 resized.jpg,navneet,350.33898305084745,1.5423728813559325,502.0338983050848,193.91525423728814

im_data_reshaped/test/IMG-20191123-WA0005 resized.jpg,IMG-20191123-WA0005 resized.jpg,rinku,548.6440677966102,52.38983050847458,787.6271186440679,408.3220338983051

im_data_reshaped/test/IMG-20191123-WA0005 resized.jpg,IMG-20191123-WA0005 resized.jpg,other,69.83050847457628,29.508474576271187,111.35593220338984,82.89830508474577

im_data_reshaped/test/IMG-20191123-WA0005 resized.jpg,IMG-20191123-WA0005 resized.jpg,other,36.77966101694915,41.37288135593221,74.06779661016952,92.22033898305085

im_data_reshaped/test/IMG_20180918_194142 resized.jpg,IMG_20180918_194142 resized.jpg,other,226.61016949152543,199.0,355.42372881355936,321.8813559322034

im_data_reshaped/test/IMG_20180918_194142 resized.jpg,IMG_20180918_194142 resized.jpg,other,490.1694915254237,220.18644067796612,572.3728813559322,299.8474576271187

im_data_reshaped/test/IMG_20180918_194142 resized.jpg,IMG_20180918_194142 resized.jpg,navneet,364.7457627118645,212.55932203389833,468.13559322033905,307.47457627118644

im_data_reshaped/test/IMG_20180918_194142 resized.jpg,IMG_20180918_194142 resized.jpg,other,569.8305084745763,264.2542372881356,604.5762711864407,292.22033898305085

im_data_reshaped/test/IMG_20180918_194142 resized.jpg,IMG_20180918_194142 resized.jpg,other,183.38983050847457,257.47457627118644,218.135593220339,289.67796610169495

im_data_reshaped/test/IMG_20180918_194142 resized.jpg,IMG_20180918_194142 resized.jpg,other,623.2203389830509,251.54237288135596,677.4576271186442,291.37288135593224

im_data_reshaped/test/IMG_20180929_175113 resized.jpg,IMG_20180929_175113 resized.jpg,raghulal,152.0338983050848,379.5084745762712,231.6949152542373,458.3220338983051

im_data_reshaped/test/IMG_20180929_175113 resized.jpg,IMG_20180929_175113 resized.jpg,yogesh,258.81355932203394,271.8813559322034,325.7627118644068,334.5932203389831

im_data_reshaped/test/IMG_20180929_175113 resized.jpg,IMG_20180929_175113 resized.jpg,rohit,409.66101694915255,201.54237288135593,652.0338983050848,435.4406779661017

im_data_reshaped/test/IMG_20181005_184641 resized.jpg,IMG_20181005_184641 resized.jpg,rohit,301.1864406779662,173.5762711864407,345.25423728813564,257.47457627118644

im_data_reshaped/test/IMG_20181005_184641 resized.jpg,IMG_20181005_184641 resized.jpg,yogesh,494.406779661017,195.61016949152543,557.1186440677967,292.22033898305085

im_data_reshaped/test/IMG_20181026_192655 resized.jpg,IMG_20181026_192655 resized.jpg,raghulal,90.16949152542372,71.03389830508475,253.72881355932202,366.79661016949154

im_data_reshaped/test/IMG_20181026_192655 resized.jpg,IMG_20181026_192655 resized.jpg,other,287.6271186440679,40.525423728813564,421.5254237288136,287.135593220339

im_data_reshaped/test/IMG_20181026_192655 resized.jpg,IMG_20181026_192655 resized.jpg,yogesh,533.3898305084746,182.89830508474577,672.3728813559322,426.11864406779665

im_data_reshaped/test/IMG_20181026_192655 resized.jpg,IMG_20181026_192655 resized.jpg,rohit,514.7457627118645,543.9152542372882,689.3220338983051,768.4915254237288

